id_accidente,fecha,provincia,canton,tipo_accidente,causa_probable,gravedad,victimas_fatales,heridos,vehiculos_involucrados,condicion_climatica,tipo_via
1,2019-07-11,Guayas,Daule,Choque lateral,Estado de embriaguez,Leve,,4.0,1.0,Soleado,
2,2019-07-29,Manabi,Portoviejo,Volcamiento,Distraccion del conductor,Fatal,5.0,7.0,1.0,Soleado,Autopista
3,2022-12-13,El Oro,Machala,Choque frontal,Fallas mecanicas,Grave,1.0,0.0,4.0,Lluvioso,Rural
4,2022-06-01,El Oro,Pasaje,Rozamiento,Cansancio del conductor,Grave,0.0,1.0,3.0,Lluvioso,Urbana
5,2021-04-01,Manabi,Chone,Choque frontal,No respetar seniales,Leve,0.0,4.0,2.0,Lluvioso,Autopista
6,2021-05-27,El Oro,Zaruma,Volcamiento,Mal estado de la via,Leve,0.0,7.0,4.0,Nublado,Secundaria
7,2021-02-27,Manabi,El Carmen,Rozamiento,Cansancio del conductor,Leve,0.0,2.0,1.0,Neblina,Urbana
8,2021-10-22,El Oro,Pasaje,Rozamiento,No respetar seniales,Fatal,5.0,0.0,3.0,Soleado,Autopista
9,2020-05-05,El Oro,Machala,Choque lateral,Distraccion del conductor,Grave,2.0,3.0,1.0,Soleado,Autopista
10,2021-05-16,Guayas,Daule,Rozamiento,Distraccion del conductor,Grave,2.0,1.0,2.0,Lluvioso,Secundaria
11,2020-03-27,El Oro,Machala,Choque frontal,,Leve,0.0,5.0,1.0,Soleado,Secundaria
12,2023-05-26,Manabi,El Carmen,Choque con objeto fijo,Mal estado de la via,Fatal,1.0,5.0,4.0,Neblina,Rural
13,2020-05-24,Manabi,Manta,Choque lateral,Estado de embriaguez,Grave,0.0,6.0,1.0,Neblina,Urbana
14,2023-09-09,Manabi,Portoviejo,Choque frontal,Exceso de velocidad,Leve,0.0,4.0,1.0,Lluvioso,Secundaria
15,2021-05-16,Manabi,Jipijapa,Caida de ocupante,Fallas mecanicas,Leve,0.0,7.0,13.0,Neblina,Autopista
16,2019-11-19,Manabi,Portoviejo,Rozamiento,Mal estado de la via,Leve,0.0,3.0,1.0,Soleado,Secundaria
17,2022-09-08,Manabi,Jipijapa,Rozamiento,Exceso de velocidad,Leve,,1.0,1.0,Nublado,Perimetral
18,2019-07-24,El Oro,Machala,Rozamiento,Exceso de velocidad,Leve,0.0,5.0,3.0,Lluvioso,Secundaria
19,2019-01-17,El Oro,Zaruma,Atropello,Distraccion del conductor,Leve,0.0,5.0,3.0,Soleado,Secundaria
20,2021-09-27,Manabi,Chone,Choque con objeto fijo,Cansancio del conductor,Leve,0.0,1.0,3.0,Soleado,Secundaria
21,2022-02-22,Guayas,Guayaquil,Choque frontal,Cansancio del conductor,Grave,2.0,,3.0,Soleado,Perimetral
22,2021-01-02,Manabi,Manta,Caida de ocupante,Fallas mecanicas,Leve,0.0,5.0,,Lluvioso,Urbana
23,2019-02-20,Guayas,Daule,Caida de ocupante,Fallas mecanicas,Leve,0.0,8.0,2.0,Nublado,Perimetral
24,2020-12-17,Los Rios,Ventanas,Choque con objeto fijo,No respetar seniales,Leve,0.0,3.0,1.0,Lluvioso,Perimetral
25,2020-11-09,Manabi,Portoviejo,Choque frontal,Estado de embriaguez,Leve,,3.0,1.0,Nublado,Secundaria
26,2020-01-25,Manabi,Chone,Choque frontal,Mal estado de la via,Grave,2.0,,4.0,Neblina,Secundaria
27,2023-01-14,Guayas,Milagro,Rozamiento,Distraccion del conductor,Leve,0.0,8.0,2.0,Nublado,Urbana
